Hospital Name,Address,City,State,ZIP Code,Hospital 30-Day Death (Mortality) Rates from Heart Attack,Hospital 30-Day Death (Mortality) Rates from Heart Failure,Hospital 30-Day Death (Mortality) Rates from Pneumonia
DREW MEMORIAL HOSPITAL,778 SCOGIN DRIVE,MONTICELLO,AR,71655,Not Available,12.9,13.5
SPARKS REGIONAL MEDICAL CENTER,1001 TOWSON AVENUE,FORT SMITH,AR,72901,16.7,14,12.2
ST EDWARD MERCY MEDICAL CENTER,7301 ROGERS AVE,FORT SMITH,AR,72917,14.9,12.6,12.8
MAGNOLIA HOSPITAL,101 HOSPITAL DRIVE,MAGNOLIA,AR,71754,Not Available,14.9,12.8
GREAT RIVER MEDICAL CENTER,1520 N DIVISION STREET,BLYTHEVILLE,AR,72315,Not Available,14.2,15.2
JEFFERSON REGIONAL MEDICAL CENTER,1600 WEST 40TH AVENUE,PINE BLUFF,AR,71603,16.8,13.2,11
BAPTIST HEALTH MEDICAL CENTER-STUTTGART,1703 NORTH BUERKLE ROAD,STUTTGART,AR,72160,15.7,11,14.2
NORTH METRO MEDICAL CENTER,1400 BRADEN STREET,JACKSONVILLE,AR,72076,17.1,9.6,13.4
HOT SPRING COUNTY MEDICAL CENTER,1001 SCHNEIDER DRIVE,MALVERN,AR,72104,15.8,14.4,11.5
NATIONAL PARK MEDICAL CENTER,1910 MALVERN AVENUE,HOT SPRINGS,AR,71901,19.1,13.5,13.3
HARRIS HOSPITAL,1205 MCLAIN STREET,NEWPORT,AR,72112,17.3,11.3,12.1
SALINE MEMORIAL HOSPITAL,#1 MEDICAL PARK DRIVE,BENTON,AR,72015,15.7,14.4,12.2
HELENA REGIONAL MEDICAL CENTER,1801 MARTIN LUTHER KING DRIVE,HELENA,AR,72342,Not Available,12.1,13.3
MEDICAL CENTER SOUTH ARKANSAS,700 WEST GROVE STREET,EL DORADO,AR,71731,21.9,13.6,14.6
MEDICAL PARK HOSPITAL,2001 SOUTH MAIN STREET,HOPE,AR,71801,17.3,12.7,15.1
FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE                  ,AR,72703,17.1,10.2,16.9
VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,4300 WEST SEVENTH STREET,LITTLE ROCK                   ,AR,72205,14.5,9,12.1
BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,"9601 INTERSTATE 630, EXIT 7",LITTLE ROCK,AR,72205,14.7,11.1,11
NEA BAPTIST MEMORIAL HOSPITAL,3024 STADIUM BOULEVARD,JONESBORO,AR,72401,14.5,17.2,11.3
WHITE RIVER MEDICAL CENTER,1710 HARRISON STREET,BATESVILLE,AR,72503,17.6,12.5,12.1
LEO N LEVI NATIONAL ARTHRITIS HOSPITAL,300 PROSPECT AVE,HOT SPRINGS,AR,71901,Not Available,Not Available,Not Available
ARKANSAS HEART HOSPITAL,1701 S SHACKLEFORD ROAD,LITTLE ROCK,AR,72211,11.9,13.3,10.4
ST VINCENT MEDICAL CENTER/NORTH,2215 WILDWOOD AVENUE,SHERWOOD,AR,72120,Not Available,12.6,11.1
ARKANSAS SURGICAL HOSPITAL,5201 NORTH SHORE DRIVE,NO LITTLE ROCK,AR,72118,Not Available,Not Available,Not Available
PHYSICIANS' SPECIALTY HOSPITAL,3873 NORTH PARKVIEW DRIVE,FAYETTEVILLE,AR,72703,Not Available,Not Available,Not Available
NORTH LOGAN MERCY HOSPITAL,500 EAST ACADEMY,PARIS,AR,72855,Not Available,13.8,11.6
RIVER VALLEY MEDICAL CENTER,200 NORTH THIRD STREET,DARDANELLE,AR,72834,Not Available,11.9,17.9
MERCY HOSPITAL TURNER MEMORIAL,801 WEST RIVER STREET,OZARK,AR,72949,Not Available,Not Available,13
"EUREKA SPRINGS HOSPITAL, LLC",24 NORRIS STREET,EUREKA SPRINGS,AR,72632,Not Available,13.7,13.7
MERCY HOSPITAL SCOTT COUNTY,1341 WEST SIXTH STREET,WALDRON,AR,72958,Not Available,12.5,13.8
COMMUNITY MEDICAL CENTER IZARD COUNTY,103 GRASSE STREET,CALICO ROCK,AR,72519,Not Available,14.8,12.3
CROSSRIDGE COMMUNITY HOSPITAL,310 SOUTH FALLS BOULEVARD,WYNNE,AR,72396,Not Available,11,11.2
MCGEHEE HOSPITAL,900 SOUTH THIRD STREET,MCGEHEE,AR,71654,Not Available,12.8,15.3
LAWRENCE MEMORIAL HOSPITAL,1309 WEST MAIN,WALNUT RIDGE,AR,72476,Not Available,10.9,12.4
STONE COUNTY MEDICAL CENTER,HIGHWAY 14 EAST,MOUNTAIN VIEW,AR,72560,Not Available,12.1,9.9
HOWARD MEMORIAL HOSPITAL,130 MEDICAL CIRCLE,NASHVILLE,AR,71852,Not Available,11.9,16.7
BAPTIST HEALTH MEDICAL CENTER HEBER SPINGS,1800 BYPASS ROAD,HEBER SPRINGS,AR,72543,Not Available,11.5,12
OZARK HEALTH,2500 HIGHWAY 65 SOUTH,CLINTON,AR,72031,Not Available,12.4,13.4
"DEWITT HOSPITAL & NURSING HOME, INC",1641 WHITEHEAD DRIVE,DE WITT,AR,72042,Not Available,12.5,13
SOUTH MISSISSISSPI COUNTY REGIONAL MEDICAL CENTER,611 WEST LEE AVENUE,OSCEOLA,AR,72370,Not Available,12,10.8
DALLAS COUNTY MEDICAL CENTER,201 CLIFTON STREET,FORDYCE,AR,71742,Not Available,12.1,15.7
BOONEVILLE COMMUNITY HOSPITAL,880 WEST MAIN,BOONEVILLE,AR,72927,Not Available,15.7,12.8
"DE QUEEN MEDICAL CENTER, INC",1306 WEST COLLIN RAYE DRIVE,DE QUEEN,AR,71832,Not Available,13.2,11.6
LITTLE RIVER MEMORIAL HOSPITAL,451 WEST LOCKE STREET,ASHDOWN,AR,71822,Not Available,10.7,12.3
BAPTIST HEALTH MEDICSL CENTER-ARKADELPHIA,3050 TWIN RIVERS DRIVE,ARKADELPHIA,AR,71923,Not Available,11.7,12.6
ASHLEY COUNTY MEDICAL CENTER,1015 UNITY ROAD,CROSSETT,AR,71635,Not Available,13.1,14.3
ST VINCENT MORRILTON,#4 HOSPITAL DRIVE,MORRILTON,AR,72110,Not Available,13.2,15.2
DELTA MEMORIAL HOSPITAL,300 EAST PICKENS,DUMAS,AR,71639,Not Available,12.6,11.7
BRADLEY COUNTY MEDICAL CENTER,404 SOUTH BRADLEY STREET,WARREN,AR,71671,Not Available,12.6,12.7
CHICOT MEMORIAL MEDICAL CENTER,2729 SOUTH HIGHWAY 65 & 82,LAKE VILLAGE,AR,71653,Not Available,12.3,14
ST JOHN'S HOSPITAL-BERRYVILLE,214 CARTER STREET,BERRYVILLE,AR,72616,Not Available,11.7,12.4
PIGGOTT COMMUNITY HOSPITAL,1206 GORDON DUCKWORTH DRIVE,PIGGOTT,AR,72454,Not Available,11.6,11.3
OZARKS COMMUNITY HOSPITAL OF GRAVETTE,1101 JACKSON STREET SW,GRAVETTE,AR,72736,Not Available,Not Available,12
ARKANSAS CHILDREN'S HOSPITAL,800 MARSHALL STREET SLOT 301,LITTLE ROCK,AR,72202,Not Available,Not Available,Not Available
ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,15.3,10.6,10.3
ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,18.6,14.4,11.9
PENINSULA MEDICAL CENTER,1501 TROUSDALE DRIVE,BURLINGAME,CA,94010,16,11.8,10.4
CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,45 CASTRO STREET,SAN FRANCISCO,CA,94114,Not Available,11.9,10.8
QUEEN OF THE VALLEY MEDICAL CENTER,1000 TRANCAS ST,NAPA,CA,94558,16.1,11.9,11.1
ST HELENA HOSPITAL,10 WOODLAND ROAD,SAINT HELENA,CA,94574,16.6,11.2,9.3
SUTTER AMADOR HOSPITAL,200 MISSION BLVD,JACKSON,CA,95642,16,15.8,12.7
ARROYO GRANDE COMMUNITY HOSPITAL,345 S HALCYON RD,ARROYO GRANDE,CA,93420,17.2,11.8,11.6
MERCY GENERAL HOSPITAL,4001 J ST,SACRAMENTO,CA,95819,15.2,10.8,13.4
PACIFIC ALLIANCE MEDICAL CENTER,531 W COLLEGE ST,LOS ANGELES,CA,90012,13.5,10.2,9.8
RIVERSIDE COMMUNITY HOSPITAL,4445 MAGNOLIA AVENUE,RIVERSIDE,CA,92501,13.9,10.6,11.9
PARADISE VALLEY HOSPITAL,2400 EAST FOURTH STREET,NATIONAL CITY,CA,91950,14.7,8.3,8.7
UNIVERSITY OF CALIFORNIA SAN DIEGO MEDICAL CENTER,200 WEST ARBOR DRIVE,SAN DIEGO,CA,92103,12.5,9.9,9.2
GROSSMONT HOSPITAL,5555 GROSSMONT CENTER DRIVE BOX 58,LA MESA,CA,91942,18.2,15.1,13
MAD RIVER COMMUNITY HOSPITAL,3800 JANES RD,ARCATA,CA,95521,Not Available,13,15.5
OROVILLE HOSPITAL,2767 OLIVE HIGHWAY,OROVILLE,CA,95966,14.7,9.5,8.3
BAKERSFIELD MEMORIAL HOSPITAL,420 34TH ST BOX 1888,BAKERSFIELD,CA,93301,18.7,10.9,12.3
SANTA CLARA VALLEY MEDICAL CENTER,751 SOUTH BASCOM AVENUE,SAN JOSE,CA,95128,16,10.7,13.3
ENLOE MEDICAL CENTER,1531 ESPLANADE,CHICO,CA,95926,14.9,11.5,10.4
LAC/OLIVE VIEW-UCLA MEDICAL CENTER,14445 OLIVE VIEW DRIVE,SYLMAR,CA,91342,Not Available,10.8,12
ST ELIZABETH COMMUNITY HOSPITAL,2550 SISTER MARY COLUMBA DRIVE,RED BLUFF,CA,96080,16.9,12.3,11.8
ALTA BATES SUMMIT MEDICAL CENTER,350 HAWTHORNE AVENUE,OAKLAND,CA,94609,12.4,9.7,10.9
EL CENTRO REGIONAL MEDICAL CENTER,1415 ROSS AVENUE,EL CENTRO,CA,92243,17.3,13.1,13.5
OJAI VALLEY COMMUNITY HOSPITAL,1306 MARICOPA HWY,OJAI,CA,93023,Not Available,Not Available,10.8
CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP,2333 BUCHANAN STREET,SAN FRANCISCO,CA,94115,14.4,10.3,9.8
SAN GORGONIO MEMORIAL HOSPITAL,600 NORTH HIGHLAND SPRINGS AVENUE,BANNING,CA,92220,15.8,12.9,16.9
CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS,3555 CESAR CHAVEZ STREET,SAN FRANCISCO,CA,94110,16.2,9.5,12.1
ANTELOPE VALLEY HOSPITAL MED CENTER,1600 W AVE J,LANCASTER,CA,93534,14.4,10.5,18.1
KAWEAH DELTA MEDICAL CENTER,400 W MINERAL KING AVE,VISALIA,CA,93291,17.5,10.8,13.9
GLENDALE MEM HOSPITAL & HLTH CENTER,1420 S CENTRAL AVE,GLENDALE,CA,91204,12.9,7.3,10.9
COMMUNITY REGIONAL MEDICAL CENTER,2823 FRESNO STREET,FRESNO,CA,93715,16,11.1,13.9
HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,1300 N VERMONT AVE,LOS ANGELES,CA,90028,15.8,9.5,10
OAK VALLEY DISTRICT HOSPITAL,350 S OAK AVE,OAKDALE,CA,95361,14.5,12.1,15
ST JOSEPH HOSPITAL,1100 WEST STEWART DR,ORANGE,CA,92868,15.6,11.8,14.5
KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO,1200 EL CAMINO REAL,SOUTH SAN FRANCISCO,CA,94080,Not Available,Not Available,Not Available
KAISER FOUNDATION HOSPITAL-SANTA CLARA,700 LAWRENCE EXPRESSWAY,SANTA CLARA,CA,95051,Not Available,12.1,Not Available
KAISER FOUNDATION HOSPITAL - WALNUT CREEK,1425 S MAIN ST,WALNUT CREEK,CA,94596,Not Available,Not Available,Not Available
KAISER FOUNDATION HOSPITAL AND REHAB CENTER,975 SERENO DR,VALLEJO,CA,94589,Not Available,Not Available,13.9
KAISER FOUNDATION HOSPITAL OAKLAND/RICHMOND,280 W MAC ARTHUR BLVD,OAKLAND,CA,94611,Not Available,12.2,Not Available
KAISER FOUNDATION HOSPITAL - SAN FRANCISCO,2425 GEARY BLVD,SAN FRANCISCO,CA,94115,Not Available,Not Available,Not Available
SCRIPPS MERCY HOSPITAL,4077 5TH AVE,SAN DIEGO,CA,92103,14.2,9.5,10.7
PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO,1300 W 7TH ST,SAN PEDRO,CA,90732,16.4,13,12.3
DOCTORS MEDICAL CENTER-SAN PABLO,2000 VALE RD,SAN PABLO,CA,94806,14.2,8.2,12.9
ST JOHNS REGIONAL MEDICAL CENTER,1600 N ROSE AVE,OXNARD,CA,93030,13.6,9.2,13.6
ST JOSEPHS MED CENTER OF STOCKTON,1800 N CALIFORNIA ST,STOCKTON,CA,95204,16.7,13,16.7
COMMUNITY HOSPITAL OF SAN BERNARDINO,1805 MEDICAL CENTER DRIVE,SAN BERNARDINO,CA,92411,14.9,10.3,10.5
SONOMA VALLEY HOSPITAL,347 ANDRIEUX ST,SONOMA,CA,95476,15.5,9.4,10.8
COMMUNITY AND MISSION  HOSPITAL OF HUNTINGTON PARK,2623 E SLAUSON AVE,HUNTINGTON PARK,CA,90255,Not Available,9.6,11.4
SAINT AGNES MEDICAL CENTER,1303 E HERNDON AVE,FRESNO,CA,93710,13.7,12.6,14.4
"DOCTORS HOSPITAL OF WEST COVINA, INC",725 S ORANGE AVE,WEST COVINA,CA,91790,Not Available,Not Available,Not Available
SAN ANTONIO COMMUNITY HOSPITAL,999 SAN BERNARDINO RD,UPLAND,CA,91786,17.2,10.4,11.1
SHARP MEMORIAL HOSPITAL,7901 FROST ST,SAN DIEGO,CA,92123,13.8,12.4,12.9
SUTTER SOLANO MEDICAL CENTER,300 HOSPITAL DR,VALLEJO,CA,94589,15.8,11.2,12.6
PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER,3865 JACKSON STREET,RIVERSIDE,CA,92503,16.9,11,12.2
WHITE MEMORIAL MEDICAL CENTER,1720 E CESAR AVENUE,LOS ANGELES,CA,90033,13.9,8.7,9.3
SAINT FRANCIS MEDICAL CENTER,3630 EAST IMPERIAL HIGHWAY,LYNWOOD,CA,90262,13.6,8.6,9.9
MARIAN REGIONAL MEDICAL CENTER,1400 E CHURCH ST,SANTA MARIA,CA,93454,18.4,13.9,13.4
SUTTER GENERAL HOSPITAL,2801 L STREET,SACRAMENTO,CA,95816,14.9,10.4,10.4
LOMPOC VALLEY MEDICAL CENTER,1515 E OCEAN AVENUE,LOMPOC,CA,93436,15.9,12.6,17
TEMPLE COMMUNITY HOSPITAL,235 N HOOVER ST,LOS ANGELES,CA,90004,15.8,10,11.7
SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL,1250 16TH STREET,SANTA MONICA,CA,90404,13.9,9,9.7
SAN MATEO MEDICAL CENTER,222 W 39TH AVE,SAN MATEO,CA,94403,Not Available,Not Available,13.6
PALOMAR MEDICAL CENTER,555 E VALLEY PARKWAY,ESCONDIDO,CA,92025,15.3,11.5,13.2
NORTHRIDGE HOSPITAL MEDICAL CENTER,18300 ROSCOE BLVD,NORTHRIDGE,CA,91325,14.3,9.7,9.2
DOCTORS HOSPITAL OF MANTECA,1205 E NORTH ST,MANTECA,CA,95336,15.7,13,9.8
ADVENTIST MEDICAL CENTER,115 MALL DRIVE,HANFORD,CA,93230,18.2,12.3,12.3
DAMERON HOSPITAL,525 WEST ACACIA STREET,STOCKTON,CA,95203,15.9,15.5,12.8
VERDUGO HILLS HOSPITAL,1812 VERDUGO BLVD,GLENDALE,CA,91209,16.3,9.9,12.8
REGIONAL MEDICAL CENTER OF SAN JOSE,225 N JACKSON AVENUE,SAN JOSE,CA,95116,13.9,8.1,11.4
VALLEY PRESBYTERIAN HOSPITAL,15107 VANOWEN ST,VAN NUYS,CA,91406,14.7,9.3,11.2
WOODLAND MEMORIAL HOSPITAL,1325 COTTONWOOD STREET,WOODLAND,CA,95695,15.6,13.3,14.6
TRI-CITY MEDICAL CENTER,4002 VISTA WAY,OCEANSIDE,CA,92056,15.3,12.9,14.5
ST BERNARDINE MEDICAL CENTER,2101 N WATERMAN AVE,SAN BERNARDINO,CA,92404,14.9,10.7,10.1
NOVATO COMMUNITY HOSPITAL,180 ROWLAND WAY,NOVATO,CA,94945,14.2,10.3,12.6
SAN GABRIEL VALLEY MEDICAL CENTER,438 W LAS TUNAS DRIVE,SAN GABRIEL,CA,91776,15,11,9.8
RIDEOUT MEMORIAL HOSPITAL,726 4TH ST,MARYSVILLE,CA,95901,15.1,15.8,15.2
HOLLYWOOD COMMUNITY HOSPITAL OF HOLLYWOOD,6245 DE LONGPRE AVE,HOLLYWOOD,CA,90028,Not Available,10.5,10.5
PETALUMA VALLEY HOSPITAL,400 N MCDOWELL BLVD,PETALUMA,CA,94954,15.2,12,14
KAISER FOUNDATION HOSPITAL - PANORAMA CITY,13652 CANTARA ST,PANORAMA CITY,CA,91402,Not Available,10.7,13.3
KAISER FOUNDATION HOSPITAL - LOS ANGELES,4867 SUNSET BLVD,LOS ANGELES,CA,90027,Not Available,Not Available,Not Available
KAISER FOUNDATION HOSPITAL - DOWNEY,9333 IMPERIAL HIGHWAY,DOWNEY,CA,90242,Not Available,Not Available,Not Available
KAISER FOUNDATION HOSPITAL FONTANA,9961 SIERRA AVE,FONTANA,CA,92335,Not Available,11.8,11.4
COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,23625 W R HOLMAN HIGHWAY,MONTEREY,CA,93940,15.8,10.6,12.3
CALIFORNIA HOSPITAL MEDICAL CENTER LA,1401 SOUTH GRAND AVENUE,LOS ANGELES,CA,90015,13.7,7.5,12.3
SIERRA NEVADA MEMORIAL HOSPITAL,155 GLASSON WAY,GRASS VALLEY,CA,95945,15.8,12.4,10.9
SAINT FRANCIS MEMORIAL HOSPITAL,900 HYDE ST,SAN FRANCISCO,CA,94109,16.9,11.6,14.7
O'CONNOR HOSPITAL,2105 FOREST AVENUE,SAN JOSE,CA,95128,15.2,11.7,13.4
ENCINO HOSPITAL MEDICAL CENTER,16237 VENTURA BLVD,ENCINO,CA,91436,13.3,8.6,9.4
VENTURA COUNTY MEDICAL CENTER,3291 LOMA VISTA RD,VENTURA,CA,93003,Not Available,12.9,15.2
SAN JOAQUIN GENERAL HOSPITAL,500 W HOSPITAL ROAD,FRENCH CAMP,CA,95231,17.1,13.1,13.1
ST JUDE MEDICAL CENTER,101 E VALENCIA MESA DRIVE,FULLERTON,CA,92835,14.5,10.2,11.3
PRESBYTERIAN INTERCOMMUNITY HOSPITAL,12401 E WASHINGTON BLVD,WHITTIER,CA,90602,12.9,10.1,8.7
SANTA ROSA MEMORIAL HOSPITAL,1165 MONTGOMERY DR,SANTA ROSA,CA,95405,14.7,14,11.7
EMANUEL MEDICAL CENTER INC,825 DELBON AVE,TURLOCK,CA,95382,16.2,14.1,13.4
JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS,1601 YGNACIO VALLEY RD,WALNUT CREEK,CA,94598,14,10.6,9.7
GEORGE L MEE MEMORIAL HOSPITAL,300 CANAL STREET,KING CITY,CA,93930,Not Available,11.2,13.6
ST MARY MEDICAL CENTER,1050 LINDEN AVE,LONG BEACH,CA,90813,13.9,10,8.9
ADVENTIST MEDICAL CENTER - REEDLEY,372 W CYPRESS AVE,REEDLEY,CA,93654,Not Available,9.5,15
WATSONVILLE COMMUNITY HOSPITAL,75 NIELSON STREET,WATSONVILLE,CA,95076,17.1,13.4,11.1
WASHINGTON HOSPITAL,2000 MOWRY AVE,FREMONT,CA,94538,13.9,9.5,11.7
CENTRAL VALLEY GENERAL HOSPITAL,1025 N DOUTY ST,HANFORD,CA,93230,Not Available,10.3,14.6
SEQUOIA HOSPITAL,170 ALAMEDA DE LAS PULGAS,REDWOOD CITY,CA,94062,13.1,11.2,9.7
PALMDALE REGIONAL MEDICAL CENTER,38600 MEDICAL CENTER DRIVE,PALMDALE,CA,93552,16.3,10.6,11
EAST VALLEY HOSPITAL MEDICAL CENTER,150 WEST ROUTE 66,GLENDORA,CA,91740,13.9,11,9.4
ALAMEDA HOSPITAL,2070 CLINTON AVE,ALAMEDA,CA,94501,14.3,12.2,9
SHARP CHULA VISTA MEDICAL CENTER,751 MEDICAL CENTER COURT,CHULA VISTA,CA,91911,12.6,8.6,11.3
HOAG MEMORIAL HOSPITAL PRESBYTERIAN,ONE HOAG DRIVE,NEWPORT BEACH,CA,92663,15.3,11.1,12.2
FEATHER RIVER HOSPITAL,5974 PENTZ ROAD,PARADISE,CA,95969,15.4,11.5,12
AHMC ANAHEIM REGIONAL MEDICAL CENTER,1111 W LA PALMA AVENUE,ANAHEIM,CA,92801,16.4,9.9,9.5
SAN FRANCISCO GENERAL HOSPITAL,1001 POTRERO AVENUE,SAN FRANCISCO,CA,94110,17.4,11.9,10.7
GARDEN GROVE HOSPITAL & MEDICAL CENTER,12601 GARDEN GROVE BLVD,GARDEN GROVE,CA,92843,13.4,9.3,9.5
POMONA VALLEY HOSPITAL MEDICAL CENTER,1798 N GAREY AVE,POMONA,CA,91767,14.2,11.2,10.5
FRENCH HOSPITAL MEDICAL CENTER,1911 JOHNSON AVE,SAN LUIS OBISPO,CA,93401,13.2,12.9,14
SHARP CORONADO HOSPITAL AND HLTHCR CTR,250 PROSPECT PLACE,CORONADO,CA,92118,Not Available,10.3,12.5
PROVIDENCE SAINT JOSEPH MEDICAL CTR,501 SOUTH BUENA VISTA,BURBANK,CA,91505,14.8,10.3,10.3
SIMI VALLEY HOSPITAL & HEALTH CARE SERVICES,2975 N SYCAMORE DR,SIMI VALLEY,CA,93065,15.4,10.9,9.8
METHODIST HOSPITAL OF SOUTHERN CA,300 W HUNTINGTON DR,ARCADIA,CA,91006,14.4,9.7,10.7
GLENDALE ADVENTIST MEDICAL CENTER,1509 E WILSON TERRACE,GLENDALE,CA,91206,10.5,8.4,9.7
DOMINICAN HOSPITAL,1555 SOQUEL DRIVE,SANTA CRUZ,CA,95065,15.4,13.7,13.6
DESERT REGIONAL MEDICAL CENTER,1150 NORTH INDIAN CANYON DRIVE,PALM SPRINGS,CA,92262,15.3,13.9,11.6
ARROWHEAD REGIONAL MEDICAL CENTER,400 NORTH PEPPER AVENUE,COLTON,CA,92324,17.9,11.9,12.6
NATIVIDAD MEDICAL CENTER,1441 CONSTITUTION BOULEVARD,SALINAS,CA,93906,16.2,11.3,13.5
MARSHALL MEDICAL CENTER (1-RH),1100 MARSHALL WAY,PLACERVILLE,CA,95667,18.6,11.4,10.1
GOOD SAMARITAN HOSPITAL,901 OLIVE DRIVE,BAKERSFIELD,CA,93308,Not Available,11.1,9.9
SIERRA VIEW DISTRICT HOSPITAL,465 W PUTNAM AVE,PORTERVILLE,CA,93257,16.8,15.5,17.6
RONALD REAGAN UCLA MEDICAL CENTER,757 WESTWOOD PLAZA,LOS ANGELES,CA,90095,13,8.9,9.9
REDLANDS COMMUNITY HOSPITAL,350 TERRACINA BLVD,REDLANDS,CA,92373,16.7,11.6,14.7
CONTRA COSTA REGIONAL MEDICAL CENTER,2500 ALHAMBRA AVE,MARTINEZ,CA,94553,Not Available,10.9,12.5
PACIFIC HOSPITAL OF LONG BEACH,2776 PACIFIC AVE,LONG BEACH,CA,90806,Not Available,11.6,11.5
PROVIDENCE HOLY CROSS MEDICAL CENTER,15031 RINALDI ST,MISSION HILLS,CA,91346,14.1,9.7,9.6
HI-DESERT MEDICAL CENTER,6601 WHITE FEATHER ROAD,JOSHUA TREE,CA,92252,17,13.2,14.1
VA LONG BEACH HEALTHCARE SYSTEM,5901 E. SEVENTH STREET,LONG BEACH                    ,CA,90822,14.9,9.5,12.7
MERCY MEDICAL CENTER REDDING,"2175 ROSALINE AVE, CLAIRMONT HGTS",REDDING,CA,96001,16.6,14.5,12.2
ALHAMBRA HOSPITAL MEDICAL CENTER,100 S RAYMOND AVE,ALHAMBRA,CA,91801,14.2,9.2,9.1
VALLEYCARE MEDICAL CENTER,5555 WEST LAS POSITAS BOULEVARD,PLEASANTON,CA,94588,14.9,10.6,11.2
SETON MEDICAL CENTER,1900 SULLIVAN AVENUE,DALY CITY,CA,94015,18.6,11.5,13
SAINT JOHN'S HEALTH CENTER,2121 SANTA MONICA BLVD,SANTA MONICA,CA,90404,11.9,11.4,9.3
SUTTER MEDICAL CENTER OF SANTA ROSA,3325 CHANATE RD,SANTA ROSA,CA,95404,14.4,13.5,10.9
RIVERSIDE COUNTY REGIONAL MEDICAL CENTER,26520 CACTUS AVENUE,MORENO VALLEY,CA,92555,16,11.4,12.8
MERCY HOSPITAL,2215 TRUXTUN AVENUE,BAKERSFIELD,CA,93301,16.9,14,12.5
HAZEL HAWKINS MEMORIAL HOSPITAL,911 SUNSET DRIVE,HOLLISTER,CA,95023,13.9,11.7,13.9
BARSTOW COMMUNITY HOSPITAL,555 SOUTH SEVENTH AVENUE,BARSTOW,CA,92311,17.9,11.8,11
ST MARY MEDICAL CENTER,18300 HIGHWAY 18,APPLE VALLEY,CA,92307,12.7,11,11.2
UKIAH VALLEY MEDICAL CENTER/HOSPITAL D,275 HOSPITAL DRIVE,UKIAH,CA,95482,15.6,14.5,12.3
ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP,2450 ASHBY AVE,BERKELEY,CA,94705,14.8,11.9,10.5
EL CAMINO HOSPITAL,2500 GRANT ROAD,MOUNTAIN VIEW,CA,94040,15.3,10.9,10.9
SUTTER ROSEVILLE MEDICAL CENTER,ONE MEDICAL PLAZA,ROSEVILLE,CA,95661,16,11.6,10.7
VA N CALIFORNIA HEALTHCARE SYSTEM,10535 HOSPITAL WAY,MATHER                        ,CA,95655,13.7,13.5,10.7
SUTTER TRACY COMMUNITY HOSPITAL,1420 N TRACY BLVD,TRACY,CA,95376,18.8,12.1,11.8
KERN MEDICAL CENTER,1700 MOUNT VERNON AVENUE,BAKERSFIELD,CA,93306,Not Available,Not Available,Not Available
PALO ALTO VA MEDICAL CENTER,3801 MIRANDA AVENUE,PALO ALTO                     ,CA,94304,15.1,9.2,12.7
ALAMEDA COUNTY MEDICAL CENTER,1411 E 31ST ST,OAKLAND,CA,94602,Not Available,10.1,13.8
SCRIPPS MEMORIAL HOSPITAL LA JOLLA,9888 GENESEE AVENUE,LA JOLLA,CA,92037,15.2,10.8,9.5
LOMA LINDA UNIVERSITY MEDICAL CENTER,11234 ANDERSON ST,LOMA LINDA,CA,92354,14.5,11.3,13.4
CORONA REGIONAL MEDICAL CENTER,800 SOUTH MAIN STREET,CORONA,CA,92882,15.6,13.5,14.1
SALINAS VALLEY MEMORIAL HOSPITAL,450 EAST ROMIE LANE,SALINAS,CA,93901,16.5,11.8,12.5
SONORA REGIONAL MEDICAL CENTER,1000 GREENLEY ROAD,SONORA,CA,95370,16.5,14.9,11.4
LODI MEMORIAL HOSPITAL,975 S FAIRMONT AVENUE,LODI,CA,95240,16.3,11.9,11.2
PIONEERS MEMORIAL HEALTHCARE DISTRICT,207 WEST LEGION ROAD,BRAWLEY,CA,92227,15.1,10.8,12.3
UNIVERSITY OF CALIFORNIA IRVINE MED CENTER,101 CITY DRIVE SOUTH,ORANGE,CA,92868,14.9,11.8,10.5
CORCORAN DISTRICT HOSPITAL,1310 HANNA AVE,CORCORAN,CA,93212,Not Available,Not Available,Not Available
BEVERLY HOSPITAL,309 W BEVERLY BLVD,MONTEBELLO,CA,90640,14.1,9.4,10.9
TORRANCE MEMORIAL MEDICAL CENTER,3330 LOMITA BLVD,TORRANCE,CA,90509,14.9,11,10.8
BARTON MEMORIAL HOSPITAL,2170 SOUTH AVENUE,SOUTH LAKE TAHOE,CA,96158,Not Available,10.8,10.8
